MSH FILE,MSH NAME,LOD,CATEGORY,ANIMATIONS
c_berkbear_3.msh,Bereskarn,3,NPC,c_beara.amb_feed c_beara.atk_v1 c_beara.atk_v2 c_beara.atk_v3 c_beara.bdmg c_beara.choke c_beara.com_v1 c_beara.com_v2 c_beara.com_v3 c_beara.cwkb c_beara.cwkbl c_beara.cwkbr c_beara.cwkf c_beara.cwkfl c_beara.cwkfr c_beara.dazed c_beara.dblw_dmg_lp c_beara.dblw_dmg_v1 c_beara.dblw_lp_v1 c_beara.die_v3 c_beara.dieloop c_beara.dmg_v1 c_beara.electr c_beara.enter c_beara.en_v1 c_beara.exit c_beara.hv_dmg c_beara.kd_bk c_beara.kd_enter c_beara.kd_exit c_beara.kd_lp c_beara.p c_beara.p_rst
c_blacbear_0.msh,Black Bear,0,NPC,c_beara.amb_feed c_beara.atk_v1 c_beara.atk_v2 c_beara.atk_v3 c_beara.bdmg c_beara.choke c_beara.com_v1 c_beara.com_v2 c_beara.com_v3 c_beara.cwkb c_beara.cwkbl c_beara.cwkbr c_beara.cwkf c_beara.cwkfl c_beara.cwkfr c_beara.dazed c_beara.dblw_dmg_lp c_beara.dblw_dmg_v1 c_beara.dblw_lp_v1 c_beara.die_v3 c_beara.dieloop c_beara.dmg_v1 c_beara.electr c_beara.enter c_beara.en_v1 c_beara.exit c_beara.hv_dmg c_beara.kd_bk c_beara.kd_enter c_beara.kd_exit c_beara.kd_lp c_beara.p c_beara.p_rst
c_blacbear_2.msh,Black Bear,2,NPC,c_beara.amb_feed c_beara.atk_v1 c_beara.atk_v2 c_beara.atk_v3 c_beara.bdmg c_beara.choke c_beara.com_v1 c_beara.com_v2 c_beara.com_v3 c_beara.cwkb c_beara.cwkbl c_beara.cwkbr c_beara.cwkf c_beara.cwkfl c_beara.cwkfr c_beara.dazed c_beara.dblw_dmg_lp c_beara.dblw_dmg_v1 c_beara.dblw_lp_v1 c_beara.die_v3 c_beara.dieloop c_beara.dmg_v1 c_beara.electr c_beara.enter c_beara.en_v1 c_beara.exit c_beara.hv_dmg c_beara.kd_bk c_beara.kd_enter c_beara.kd_exit c_beara.kd_lp c_beara.p c_beara.p_rst
c_blacbear_3.msh,Black Bear,3,NPC,c_beara.amb_feed c_beara.atk_v1 c_beara.atk_v2 c_beara.atk_v3 c_beara.bdmg c_beara.choke c_beara.com_v1 c_beara.com_v2 c_beara.com_v3 c_beara.cwkb c_beara.cwkbl c_beara.cwkbr c_beara.cwkf c_beara.cwkfl c_beara.cwkfr c_beara.dazed c_beara.dblw_dmg_lp c_beara.dblw_dmg_v1 c_beara.dblw_lp_v1 c_beara.die_v3 c_beara.dieloop c_beara.dmg_v1 c_beara.electr c_beara.enter c_beara.en_v1 c_beara.exit c_beara.hv_dmg c_beara.kd_bk c_beara.kd_enter c_beara.kd_exit c_beara.kd_lp c_beara.p c_beara.p_rst
c_blgtwolf_0.msh,Blight Wolf,0,NPC,c_dog.amb_feed c_dog.amb_wk_sus c_dog.atk_v1 c_dog.atk_v2 c_dog.atk_v3 c_dog.attk_v1 c_dog.bnt_dblw c_dog.bnt_dblw_lp c_dog.charge c_dog.choke c_dog.com_bark c_dog.com_barking c_dog.com_cavort c_dog.com_cocked c_dog.com_dig c_dog.com_gag c_dog.com_growl c_dog.com_howl c_dog.com_lunge c_dog.com_pant c_dog.com_pant_v2 c_dog.com_pee c_dog.com_play c_dog.com_roll c_dog.com_scratch c_dog.com_sniff c_dog.com_submit c_dog.com_v1 c_dog.crnf c_dog.ctn180l_cwk c_dog.cwalkf c_dog.cwalkpausefr c_dog.cwk_rdy_lf c_dog.cwkb c_dog.cwkbl c_dog.cwkbr c_dog.cwkf c_dog.cwkfl c_dog.cwkfr c_dog.dazed c_dog.dblw_dmg_v1 c_dog.dblw_loop_v1 c_dog.dg_f_r_5p_en c_dog.dg_f_r_5p_ex c_dog.dg_f_w_5p_ex c_dog.dg_sniff_ex c_dog.dg_tn_180_r_5p c_dog.dg_tn_90_l_5p c_dog.dg_tn_90_r_5p c_dog.die_v1 c_dog.die_v2 c_dog.dieloop_v1 c_dog.dieloop_v2 c_dog.dmg_v1 c_dog.drnk_ptn c_dog.drop c_dog.eat2pause c_dog.eat_twitch c_dog.eatloop c_dog.eattwitch c_dog.enter c_dog.exit c_dog.growl c_dog.howl c_dog.hv_dmg c_dog.kd_bk c_dog.kd_enter c_dog.kd_exit c_dog.kd_lp c_dog.p c_dog.p_dmg c_dog.p_rnf c_dog.p_sit c_dog.p_tn180l_rnf c_dog.p_tn180l_wkf c_dog.p_tn180r_wkf c_dog.p_tw_v1 c_dog.p_tw_v2 c_dog.p_tw_v4 c_dog.pause2eat c_dog.pause2relax c_dog.pausebarking c_dog.pauseturnl180cwalkf c_dog.pp_p_rst c_dog.pp_rst_lp c_dog.pp_rst_p c_dog.prst cdog.rdy c_dog.ready c_dog.relax c_dog.rn_lnl c_dog.rn_lnr c_dog.rn_p_lf c_dog.rn_p_lrf c_dog.rnf c_dog.rst_lp c_dog.rst_p c_dog.shred c_dog.sit_loop c_dog.sit_p c_dog.sleep c_dog.sleep_tw_v1 c_dog.tailwag c_dog.tailwag_enter c_dog.tailwag_exit c_dog.tailwag_loop c_dog.tal_ovlm_en c_dog.tal_ovlm_ex c_dog.tal_ovlm_lp c_dog.tn90l c_dog.tn90r c_dog.turnl180 c_dog.walk_enter c_dog.walkf c_dog.walkp c_dog.walkpausebr c_dog.walkpausefr c_dog.wkb c_dog.wkf
c_blgtwolf_2.msh,Blight Wolf,2,NPC,c_dog.amb_feed c_dog.amb_wk_sus c_dog.atk_v1 c_dog.atk_v2 c_dog.atk_v3 c_dog.attk_v1 c_dog.bnt_dblw c_dog.bnt_dblw_lp c_dog.charge c_dog.choke c_dog.com_bark c_dog.com_barking c_dog.com_cavort c_dog.com_cocked c_dog.com_dig c_dog.com_gag c_dog.com_growl c_dog.com_howl c_dog.com_lunge c_dog.com_pant c_dog.com_pant_v2 c_dog.com_pee c_dog.com_play c_dog.com_roll c_dog.com_scratch c_dog.com_sniff c_dog.com_submit c_dog.com_v1 c_dog.crnf c_dog.ctn180l_cwk c_dog.cwalkf c_dog.cwalkpausefr c_dog.cwk_rdy_lf c_dog.cwkb c_dog.cwkbl c_dog.cwkbr c_dog.cwkf c_dog.cwkfl c_dog.cwkfr c_dog.dazed c_dog.dblw_dmg_v1 c_dog.dblw_loop_v1 c_dog.dg_f_r_5p_en c_dog.dg_f_r_5p_ex c_dog.dg_f_w_5p_ex c_dog.dg_sniff_ex c_dog.dg_tn_180_r_5p c_dog.dg_tn_90_l_5p c_dog.dg_tn_90_r_5p c_dog.die_v1 c_dog.die_v2 c_dog.dieloop_v1 c_dog.dieloop_v2 c_dog.dmg_v1 c_dog.drnk_ptn c_dog.drop c_dog.eat2pause c_dog.eat_twitch c_dog.eatloop c_dog.eattwitch c_dog.enter c_dog.exit c_dog.growl c_dog.howl c_dog.hv_dmg c_dog.kd_bk c_dog.kd_enter c_dog.kd_exit c_dog.kd_lp c_dog.p c_dog.p_dmg c_dog.p_rnf c_dog.p_sit c_dog.p_tn180l_rnf c_dog.p_tn180l_wkf c_dog.p_tn180r_wkf c_dog.p_tw_v1 c_dog.p_tw_v2 c_dog.p_tw_v4 c_dog.pause2eat c_dog.pause2relax c_dog.pausebarking c_dog.pauseturnl180cwalkf c_dog.pp_p_rst c_dog.pp_rst_lp c_dog.pp_rst_p c_dog.prst cdog.rdy c_dog.ready c_dog.relax c_dog.rn_lnl c_dog.rn_lnr c_dog.rn_p_lf c_dog.rn_p_lrf c_dog.rnf c_dog.rst_lp c_dog.rst_p c_dog.shred c_dog.sit_loop c_dog.sit_p c_dog.sleep c_dog.sleep_tw_v1 c_dog.tailwag c_dog.tailwag_enter c_dog.tailwag_exit c_dog.tailwag_loop c_dog.tal_ovlm_en c_dog.tal_ovlm_ex c_dog.tal_ovlm_lp c_dog.tn90l c_dog.tn90r c_dog.turnl180 c_dog.walk_enter c_dog.walkf c_dog.walkp c_dog.walkpausebr c_dog.walkpausefr c_dog.wkb c_dog.wkf
c_blgtwolf_3.msh,Blight Wolf,3,NPC,c_dog.amb_feed c_dog.amb_wk_sus c_dog.atk_v1 c_dog.atk_v2 c_dog.atk_v3 c_dog.attk_v1 c_dog.bnt_dblw c_dog.bnt_dblw_lp c_dog.charge c_dog.choke c_dog.com_bark c_dog.com_barking c_dog.com_cavort c_dog.com_cocked c_dog.com_dig c_dog.com_gag c_dog.com_growl c_dog.com_howl c_dog.com_lunge c_dog.com_pant c_dog.com_pant_v2 c_dog.com_pee c_dog.com_play c_dog.com_roll c_dog.com_scratch c_dog.com_sniff c_dog.com_submit c_dog.com_v1 c_dog.crnf c_dog.ctn180l_cwk c_dog.cwalkf c_dog.cwalkpausefr c_dog.cwk_rdy_lf c_dog.cwkb c_dog.cwkbl c_dog.cwkbr c_dog.cwkf c_dog.cwkfl c_dog.cwkfr c_dog.dazed c_dog.dblw_dmg_v1 c_dog.dblw_loop_v1 c_dog.dg_f_r_5p_en c_dog.dg_f_r_5p_ex c_dog.dg_f_w_5p_ex c_dog.dg_sniff_ex c_dog.dg_tn_180_r_5p c_dog.dg_tn_90_l_5p c_dog.dg_tn_90_r_5p c_dog.die_v1 c_dog.die_v2 c_dog.dieloop_v1 c_dog.dieloop_v2 c_dog.dmg_v1 c_dog.drnk_ptn c_dog.drop c_dog.eat2pause c_dog.eat_twitch c_dog.eatloop c_dog.eattwitch c_dog.enter c_dog.exit c_dog.growl c_dog.howl c_dog.hv_dmg c_dog.kd_bk c_dog.kd_enter c_dog.kd_exit c_dog.kd_lp c_dog.p c_dog.p_dmg c_dog.p_rnf c_dog.p_sit c_dog.p_tn180l_rnf c_dog.p_tn180l_wkf c_dog.p_tn180r_wkf c_dog.p_tw_v1 c_dog.p_tw_v2 c_dog.p_tw_v4 c_dog.pause2eat c_dog.pause2relax c_dog.pausebarking c_dog.pauseturnl180cwalkf c_dog.pp_p_rst c_dog.pp_rst_lp c_dog.pp_rst_p c_dog.prst cdog.rdy c_dog.ready c_dog.relax c_dog.rn_lnl c_dog.rn_lnr c_dog.rn_p_lf c_dog.rn_p_lrf c_dog.rnf c_dog.rst_lp c_dog.rst_p c_dog.shred c_dog.sit_loop c_dog.sit_p c_dog.sleep c_dog.sleep_tw_v1 c_dog.tailwag c_dog.tailwag_enter c_dog.tailwag_exit c_dog.tailwag_loop c_dog.tal_ovlm_en c_dog.tal_ovlm_ex c_dog.tal_ovlm_lp c_dog.tn90l c_dog.tn90r c_dog.turnl180 c_dog.walk_enter c_dog.walkf c_dog.walkp c_dog.walkpausebr c_dog.walkpausefr c_dog.wkb c_dog.wkf
c_bmtencle_0.msh,Broodmother Tentacle,0,NPC,c_bmtencle.appear c_bmtencle.attack_v1 c_bmtencle.attack_v2 c_bmtencle.die_lp c_bmtencle.disappear c_bmtencle.rdy
c_bronto_0.msh,Bronto,0,NPC,bronto.atk_v1 bronto.atk_v2 bronto.com_v1 bronto.crnf bronto.cwkb bronto.cwkbl bronto.cwkbr bronto.cwkf bronto.cwkfl bronto.cwkfr bronto.dazed bronto.dblw_dmg_v1 bronto.die_lp_v1 bronto.die_v1 bronto.dmg_v1 bronto.hv_dmg bronto.p_rst bronto.p_tw_v1 bronto.ps bronto.rst_lp bronto.rst_p bronto.rst_tw_v1 bronto.wkf
c_broodmom_0.msh,Broodmother,0,NPC,"c_bmom.atk_v1 c_bmom.atk_v2 c_bmom.atk_v3 c_bmom.atk_v4 c_bmom.dblw_bladed c_bmom.dblw_bnt_sw c_bmom.dblw_bnt_tw c_bmom.dblw_en_fr c_bmom.dblw_en_lf c_bmom.dblw_en_rt c_bmom.die c_bmom.die_lp c_bmom.dmg_v1 c_bmom.enter c_bmom.head_mid c_bmom.p c_bmom.rdy c_bmom.rst_lp c_bmom.rst_p c_bmom.tal_grb_lf_en c_bmom.tal_grb_lf_ex c_bmom.tal_grb_lf_lp c_bmom.tal_grb_rt_en c_bmom.tal_grb_rt_ex c_bmom.tal_grb_rt_lp c_bmom.tal_l_ram c_bmom.tal_r_ram c_bmom.tal_spit  c_bmom.tal_swp _bmom.tal_threaten
c_bmom.tal_tnt c_bmom.tal_vom c_bmom.tal_vom_lft c_bmom.tal_vom_rgt"
c_cat_0.msh,Cat,0,NPC,c_cata.atk_v1 c_cata.com_v1 c_cata.dazed c_cata.die_lp_v1 c_cata.die_v1 c_cata.dmg_v1 c_cata.electr c_cata.idle c_cata.p_rst c_cata.p_tw_v1 c_cata.rst_lp c_cata.rst_p c_cata.run c_cata.runf c_cata.wkf c_cata.wlk_b c_cata.wlk_l c_cata.wlk_r
c_cat_2.msh,Cat,2,NPC,c_cata.atk_v1 c_cata.com_v1 c_cata.dazed c_cata.die_lp_v1 c_cata.die_v1 c_cata.dmg_v1 c_cata.electr c_cata.idle c_cata.p_rst c_cata.p_tw_v1 c_cata.rst_lp c_cata.rst_p c_cata.run c_cata.runf c_cata.wkf c_cata.wlk_b c_cata.wlk_l c_cata.wlk_r
c_cat_3.msh,Cat,3,NPC,c_cata.atk_v1 c_cata.com_v1 c_cata.dazed c_cata.die_lp_v1 c_cata.die_v1 c_cata.dmg_v1 c_cata.electr c_cata.idle c_cata.p_rst c_cata.p_tw_v1 c_cata.rst_lp c_cata.rst_p c_cata.run c_cata.runf c_cata.wkf c_cata.wlk_b c_cata.wlk_l c_cata.wlk_r
c_chicken_0.msh,Chicken,0,NPC,c_chicken.com_v1 c_chicken.p c_chicken.p_tw_v1 c_chicken.p_tw_v2 c_chicken.wkf
c_chicken_2.msh,Chicken,2,NPC,c_chicken.com_v1 c_chicken.p c_chicken.p_tw_v1 c_chicken.p_tw_v2 c_chicken.wkf
c_chicken_3.msh,Chicken,3,NPC,c_chicken.com_v1 c_chicken.p c_chicken.p_tw_v1 c_chicken.p_tw_v2 c_chicken.wkf
c_corspidr_0.msh,Corrupted Spider,0,NPC,c_spidera.appr c_spidera.atk_v1 c_spidera.atk_v2 c_spidera.atk_v3 c_spidera.crnf c_spidera.cwkb c_spidera.cwkfl c_spidera.cwkfr c_spidera.dazed c_spidera.dblow_blunt c_spidera.die_lp_v1 c_spidera.die_lp_v2 c_spidera.die_v1 c_spidera.dmg_v1 c_spidera.dppr c_spidera.ev_v1 c_spidera.hv_dmg c_spidera.k_bk c_spidera.kd_enter c_spidera.kd_exit c_spidera.kd_lp c_spidera.p c_spidera.p_tw_v1 c_spidera.rdy c_spidera.rn_lnl c_spidera.rn_lnr  c_spidera.tal_charge c_spidera.tal_dbuf c_spidera.tal_dbuf_bk c_spidera.tal_ovlm_en c_spidera.tal_ovlm_ex c_spidera.tal_ovlm_lp c_spidera.tal_spt c_spidera.wkf
c_corspidr_2.msh,Corrupted Spider,2,NPC,c_spidera.appr c_spidera.atk_v1 c_spidera.atk_v2 c_spidera.atk_v3 c_spidera.crnf c_spidera.cwkb c_spidera.cwkfl c_spidera.cwkfr c_spidera.dazed c_spidera.dblow_blunt c_spidera.die_lp_v1 c_spidera.die_lp_v2 c_spidera.die_v1 c_spidera.dmg_v1 c_spidera.dppr c_spidera.ev_v1 c_spidera.hv_dmg c_spidera.k_bk c_spidera.kd_enter c_spidera.kd_exit c_spidera.kd_lp c_spidera.p c_spidera.p_tw_v1 c_spidera.rdy c_spidera.rn_lnl c_spidera.rn_lnr  c_spidera.tal_charge c_spidera.tal_dbuf c_spidera.tal_dbuf_bk c_spidera.tal_ovlm_en c_spidera.tal_ovlm_ex c_spidera.tal_ovlm_lp c_spidera.tal_spt c_spidera.wkf
c_corspidr_3.msh,Corrupted Spider,3,NPC,c_spidera.appr c_spidera.atk_v1 c_spidera.atk_v2 c_spidera.atk_v3 c_spidera.crnf c_spidera.cwkb c_spidera.cwkfl c_spidera.cwkfr c_spidera.dazed c_spidera.dblow_blunt c_spidera.die_lp_v1 c_spidera.die_lp_v2 c_spidera.die_v1 c_spidera.dmg_v1 c_spidera.dppr c_spidera.ev_v1 c_spidera.hv_dmg c_spidera.k_bk c_spidera.kd_enter c_spidera.kd_exit c_spidera.kd_lp c_spidera.p c_spidera.p_tw_v1 c_spidera.rdy c_spidera.rn_lnl c_spidera.rn_lnr  c_spidera.tal_charge c_spidera.tal_dbuf c_spidera.tal_dbuf_bk c_spidera.tal_ovlm_en c_spidera.tal_ovlm_ex c_spidera.tal_ovlm_lp c_spidera.tal_spt c_spidera.wkf
c_deepstkr_0.msh,Deepstalker,0,NPC,c_deepstkra.appr c_deepstkra.atk_v1 c_deepstkra.atk_v2 c_deepstkra.atk_v3 c_deepstkra.bdmg c_deepstkra.choke c_deepstkra.crnf c_deepstkra.cwkb c_deepstkra.cwkbl c_deepstkra.cwkbr c_deepstkra.cwkf c_deepstkra.cwkfl c_deepstkra.cwkfr c_deepstkra.dazed c_deepstkra.dblw_dmg_v1 c_deepstkra.dblw_lp_v1 c_deepstkra.die_lp_v1 c_deepstkra.die_v1 c_deepstkra.dppr c_deepstkra.electr c_deepstkra.enter c_deepstkra.exit c_deepstkra.hv_dmg c_deepstkra.k_bk c_deepstkra.kd_enter c_deepstkra.kd_exit c_deepstkra.kd_lp c_deepstkra.p c_deepstkra.p_tw_v1 c_deepstkra.p_tw_v2 c_deepstkra.rdy c_deepstkra.rnf c_deepstkra.rst_lp c_deepstkra.rst_p c_deepstkra.tal_ovm_en c_deepstkra.tal_ovm_ex c_deepstkra.tal_ovm_lp c_deepstkra.tal_rage c_deepstkra.tal_spt c_deepstkra.wkf
c_deepstkr_2.msh,Deepstalker,2,NPC,c_deepstkra.appr c_deepstkra.atk_v1 c_deepstkra.atk_v2 c_deepstkra.atk_v3 c_deepstkra.bdmg c_deepstkra.choke c_deepstkra.crnf c_deepstkra.cwkb c_deepstkra.cwkbl c_deepstkra.cwkbr c_deepstkra.cwkf c_deepstkra.cwkfl c_deepstkra.cwkfr c_deepstkra.dazed c_deepstkra.dblw_dmg_v1 c_deepstkra.dblw_lp_v1 c_deepstkra.die_lp_v1 c_deepstkra.die_v1 c_deepstkra.dppr c_deepstkra.electr c_deepstkra.enter c_deepstkra.exit c_deepstkra.hv_dmg c_deepstkra.k_bk c_deepstkra.kd_enter c_deepstkra.kd_exit c_deepstkra.kd_lp c_deepstkra.p c_deepstkra.p_tw_v1 c_deepstkra.p_tw_v2 c_deepstkra.rdy c_deepstkra.rnf c_deepstkra.rst_lp c_deepstkra.rst_p c_deepstkra.tal_ovm_en c_deepstkra.tal_ovm_ex c_deepstkra.tal_ovm_lp c_deepstkra.tal_rage c_deepstkra.tal_spt c_deepstkra.wkf
c_deepstkr_3.msh,Deepstalker,3,NPC,c_deepstkra.appr c_deepstkra.atk_v1 c_deepstkra.atk_v2 c_deepstkra.atk_v3 c_deepstkra.bdmg c_deepstkra.choke c_deepstkra.crnf c_deepstkra.cwkb c_deepstkra.cwkbl c_deepstkra.cwkbr c_deepstkra.cwkf c_deepstkra.cwkfl c_deepstkra.cwkfr c_deepstkra.dazed c_deepstkra.dblw_dmg_v1 c_deepstkra.dblw_lp_v1 c_deepstkra.die_lp_v1 c_deepstkra.die_v1 c_deepstkra.dppr c_deepstkra.electr c_deepstkra.enter c_deepstkra.exit c_deepstkra.hv_dmg c_deepstkra.k_bk c_deepstkra.kd_enter c_deepstkra.kd_exit c_deepstkra.kd_lp c_deepstkra.p c_deepstkra.p_tw_v1 c_deepstkra.p_tw_v2 c_deepstkra.rdy c_deepstkra.rnf c_deepstkra.rst_lp c_deepstkra.rst_p c_deepstkra.tal_ovm_en c_deepstkra.tal_ovm_ex c_deepstkra.tal_ovm_lp c_deepstkra.tal_rage c_deepstkra.tal_spt c_deepstkra.wkf
c_deer_0.msh,Deer,0,NPC,c_deera.atk_v1 c_deera.com_v1 c_deera.crnf c_deera.die_v1 c_deera.dieloop c_deera.dmg_v1 c_deera.hv_dmg c_deera.p c_deera.p_rst c_deera.p_tw_v1 c_deera.rst_lp c_deera.rst_p c_deera.tn90l c_deera.tn90r c_deera.wkf
c_deer_2.msh,Deer,2,NPC,c_deera.atk_v1 c_deera.com_v1 c_deera.crnf c_deera.die_v1 c_deera.dieloop c_deera.dmg_v1 c_deera.hv_dmg c_deera.p c_deera.p_rst c_deera.p_tw_v1 c_deera.rst_lp c_deera.rst_p c_deera.tn90l c_deera.tn90r c_deera.wkf
c_deer_3.msh,Deer,3,NPC,c_deera.atk_v1 c_deera.com_v1 c_deera.crnf c_deera.die_v1 c_deera.dieloop c_deera.dmg_v1 c_deera.hv_dmg c_deera.p c_deera.p_rst c_deera.p_tw_v1 c_deera.rst_lp c_deera.rst_p c_deera.tn90l c_deera.tn90r c_deera.wkf
c_dog_0.msh,Dog,0,NPC,c_dog.amb_feed c_dog.amb_wk_sus c_dog.atk_v1 c_dog.atk_v2 c_dog.atk_v3 c_dog.attk_v1 c_dog.bnt_dblw c_dog.bnt_dblw_lp c_dog.charge c_dog.choke c_dog.com_bark c_dog.com_barking c_dog.com_cavort c_dog.com_cocked c_dog.com_dig c_dog.com_gag c_dog.com_growl c_dog.com_howl c_dog.com_lunge c_dog.com_pant c_dog.com_pant_v2 c_dog.com_pee c_dog.com_play c_dog.com_roll c_dog.com_scratch c_dog.com_sniff c_dog.com_submit c_dog.com_v1 c_dog.crnf c_dog.ctn180l_cwk c_dog.cwalkf c_dog.cwalkpausefr c_dog.cwk_rdy_lf c_dog.cwkb c_dog.cwkbl c_dog.cwkbr c_dog.cwkf c_dog.cwkfl c_dog.cwkfr c_dog.dazed c_dog.dblw_dmg_v1 c_dog.dblw_loop_v1 c_dog.dg_f_r_5p_en c_dog.dg_f_r_5p_ex c_dog.dg_f_w_5p_ex c_dog.dg_sniff_ex c_dog.dg_tn_180_r_5p c_dog.dg_tn_90_l_5p c_dog.dg_tn_90_r_5p c_dog.die_v1 c_dog.die_v2 c_dog.dieloop_v1 c_dog.dieloop_v2 c_dog.dmg_v1 c_dog.drnk_ptn c_dog.drop c_dog.eat2pause c_dog.eat_twitch c_dog.eatloop c_dog.eattwitch c_dog.enter c_dog.exit c_dog.growl c_dog.howl c_dog.hv_dmg c_dog.kd_bk c_dog.kd_enter c_dog.kd_exit c_dog.kd_lp c_dog.p c_dog.p_dmg c_dog.p_rnf c_dog.p_sit c_dog.p_tn180l_rnf c_dog.p_tn180l_wkf c_dog.p_tn180r_wkf c_dog.p_tw_v1 c_dog.p_tw_v2 c_dog.p_tw_v4 c_dog.pause2eat c_dog.pause2relax c_dog.pausebarking c_dog.pauseturnl180cwalkf c_dog.pp_p_rst c_dog.pp_rst_lp c_dog.pp_rst_p c_dog.prst cdog.rdy c_dog.ready c_dog.relax c_dog.rn_lnl c_dog.rn_lnr c_dog.rn_p_lf c_dog.rn_p_lrf c_dog.rnf c_dog.rst_lp c_dog.rst_p c_dog.shred c_dog.sit_loop c_dog.sit_p c_dog.sleep c_dog.sleep_tw_v1 c_dog.tailwag c_dog.tailwag_enter c_dog.tailwag_exit c_dog.tailwag_loop c_dog.tal_ovlm_en c_dog.tal_ovlm_ex c_dog.tal_ovlm_lp c_dog.tn90l c_dog.tn90r c_dog.turnl180 c_dog.walk_enter c_dog.walkf c_dog.walkp c_dog.walkpausebr c_dog.walkpausefr c_dog.wkb c_dog.wkf
